Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 2	L­u 3
Tö Cóc	2	0	547	1	0	99												\image\item\other\secr_004a1.spr	\image\item\other\secr_004a0.spr	Mét ®ãa hoa cóc tİm, nÕu thu thËp ®­îc 9 ®ãa cã thÓ lµm thµnh b¸nh hoa cóc (sö dông tr­íc 12 th¸ng 11).		§· khãa	\script\online\zgc_goods_use.lua		2	1		
Thï du	2	0	548	1	0	99												\image\item\usable\medi_010a1.spr	\image\item\usable\medi_010a0.spr	Mét ®ãa thï du ®á, nÕu thu thËp ®­îc 9 ®ãa cã thÓ bã thµnh bã Thï Du (sö dông tr­íc 12 th¸ng 11).		§· khãa	\script\online\zgc_goods_use.lua		2	1		
R­îu hoa cóc	2	0	549	1	0	99												\image\item\usable\food_019a1.spr	\image\item\usable\food_019a0.spr	Do 9 ®ãa hoa cóc vµng ñ thµnh, uèng vµo tiÕt Trïng D­¬ng. Ng­êi ch¬i cÊp 80 sau khi uèng sÏ nhËn ®­îc 3000000 ®iÓm kinh nghiÖm, ®iÓm sÏ thay ®æi tïy vµo cÊp ®é.		§· khãa	\script\item\juhuajiu.lua		2	1		
B¸nh hoa cóc	2	0	550	1	0	99												\image\item\other\holi_013a1.spr	\image\item\other\holi_013a0.spr	Do 9 ®ãa hoa cóc tİm t¹o thµnh, ¨n vµo tiÕt Trïng D­¬ng. Ng­¬i ch¬i cÊp 80 sau khi ¨n sÏ nhËn ®­îc 1000000 ®iÓm kinh nghiÖm, ®iÓm sÏ thay ®æi tïy theo cÊp ®é. 		§· khãa	\script\item\juhuagao.lua		2	1		
Bã thï du	2	0	551	1	0	99												\image\item\usable\medi_001a1.spr	\image\item\usable\medi_001a0.spr	Do 9 ®ãa phï du t¹o thµnh, dïng trong tiÕt Trïng D­¬ng. Ng­êi ch¬i cÊp 80 sau khi dïng sÏ nhËn ®­îc 1500000 ®iÓm kinh nghiÖm, ®iÓm sÏ thay ®æi tïy theo cÊp ®é.		§· khãa	\script\item\zhuyushu.lua		2	1		
TiÓu Nh©n s©m qu¶	2	0	552	1	0	1												\image\item\other\Ğ¡ÈË²Î¹ûa1.spr	\image\item\other\Ğ¡ÈË²Î¹ûa0.spr	§¹o gia mËt qu¶<enter><color=Gold>Sö dông mËt tŞch tèc ®é luyÖn c«ng t¨ng gÊp 2, duy tr× 4 giê		ThÇn bİ	\script\item\item_billing\xiaorenshenguo.lua		0	1		
§¹i Nh©n s©m	2	0	553	1	0	1												\image\item\other\´óÈË²Î¹ûa1.spr	\image\item\other\´óÈË²Î¹ûa0.spr	§¹o gia mËt qu¶ <enter><color=Gold>Sö dông mËt tŞch tèc ®é luyÖn c«ng t¨ng gÊp 4 lÇn, duy tr× 4 giê		ThÇn bİ	\script\item\item_billing\darenshenguo.lua		0	1		
Tu Ch©n YÕu QuyÕt	2	0	554	1	0	999												\image\item\other\ĞŞÕæÒª¾÷a1.spr	\image\item\other\ĞŞÕæÒª¾÷a0.spr	T©m ®¾c vâ häc cña c¸c vŞ tiÒn bèi truyÒn l¹i.<enter><color=Gold>(chøa 1000 ®iÓm tu luyÖn)		ThÇn bİ	\script\item\item_billing\xiuzhenyaojue.lua		0	1		
Cµn Kh«n phï	2	0	555	1	0	1												\image\item\other\Ç¬À¤·ûa1.spr	\image\item\other\Ç¬À¤·ûa0.spr	Cã thÓ t¹m xãa bá h¹n chÕ giao dŞch cña mét vµi vËt phÈm quı nµo ®ã<enter><color=Gold>(thİch hî sö dông: §«ng Ph­¬ng Long Ch©u, C¸t T­êng, Nh­ ı, H»ng Nga NguyÖt Vò §ai, HËu NghŞ L¹c D­¬ng Hoµn, Bé Trang BŞ S­ M«n 4)		ThÇn bİ	\script\item\item_billing\qiankunfu.lua		0	1		
ThÕ Th©n phï	2	0	556	1	0	99												\image\item\other\ÌæÉí·ûa1.spr	\image\item\other\ÌæÉí·ûa0.spr	Sö dông tr­íc khi nh©n vËt träng th­¬ng sÏ kh«ng bŞ trõng ph¹t ®ång thêi håi sinh ®Çy sinh lùc; sö dông sau khi nh©n vËt träng th­¬ng sÏ cã møc ®é trõng ph¹t nh­ng kh«ng bŞ ¶nh h­ëng néi ngo¹i th­¬ng		ThÇn bİ	\script\item\item_billing\tishenfu.lua		0	1		
ThuÇn Thó Tiªu_TiÓu Niªn Thó	2	0	557	1	0	99														Dïng ®Ó huÊn luyÖn thó, sö dông cã thÓ gäi TiÓu Niªn Thó.		ThÇn bİ						
ThuÇn Thó Tiªu_Thá rõng	2	0	558	1	0	99														Dïng ®Ó huÊn luyÖn Thá rõng, sö dông cã thÓ gäi Thá rõng.		ThÇn bİ						
ThuÇn Thó Tiªu_M· HÇu	2	0	559	1	0	99														Dïng ®Ó huÊn luyÖn M· HÇu, sö dông cã thÓ gäi M· HÇu.		ThÇn bİ						
ThuÇn Thó Tiªu_B¹ch §Çu §iªu	2	0	560	1	0	99														Dïng ®Ó huÊn luyÖn B¹ch §Çu §iªu, sö dông cã thÓ gäi B¹ch §Çu §iªu.		ThÇn bİ						
ThuÇn Thó Tiªu_Hå Ly	2	0	561	1	0	99														Dïng ®Ó huÊn luyÖn Hå Ly, sö dông cã thÓ gäi Hå Ly.		ThÇn bİ						
ThuÇn Thó Tiªu_Tö D¹ Hæ	2	0	562	1	0	99														Dïng ®Ó huÊn luyÖn Tö D¹ Hæ, sö dông cã thÓ gäi Tö D¹ Hæ.		ThÇn bİ						
ThuÇn Thó Tiªu_H¾c Tinh Tinh	2	0	563	1	0	99														Dïng ®Ó huÊn luyÖn H¾c Tinh Tinh, sö dông cã thÓ gäi H¾c Tinh Tinh		ThÇn bİ						
ThuÇn Thó Tiªu_D¹ Xoa Nha	2	0	564	1	0	99														Dïng ®Ó huÊn luyÖn D¹ Xoa Nha, sö dông cã thÓ gäi D¹ Xoa Nha.		ThÇn bİ						
ThuÇn Thó Tiªu_D· Mao T­îng	2	0	565	1	0	99														Dïng ®Ó huÊn luyÖn D· Mao T­îng, sö dông cã thÓ gäi D· Mao T­îng.		ThÇn bİ						
ThuÇn Thó Tiªu_Heo rõng	2	0	566	1	0	99														Dïng ®Ó huÊn luyÖn Heo rõng, sö dông cã thÓ gäi Heo rõng.		ThÇn bİ						
Bïa chó Méc nh©n	2	0	567	1	0	99														Dïng ®Ó khèng chÕ méc nh©n, sö dông cã thÓ gäi méc nh©n.		ThÇn bİ						
Bïa chó §ång nh©n	2	0	568	1	0	99														Dïng ®Ó khèng chÕ ®ång nh©n, sö dông cã thÓ gäi ®ång nh©n.		ThÇn bİ						
ThuÇn Thó Tiªu_GÊu x¸m	2	0	569	1	0	99														Dïng ®Ó huÊn luyÖn GÊu x¸m, sö dông cã thÓ gäi GÊu x¸m.		ThÇn bİ						
Bïa chó Háa Kú L©n	2	0	570	1	0	99														Bïa chó Du Ph­¬ng ®¹o sÜ khèng chÕ Háa Kú L©n.		ThÇn bİ						
Bïa chó KiÕm Hån	2	0	571	1	0	99														Bïa chó Du Ph­¬ng ®¹o khèng chÕ KiÕm Hån.		ThÇn bİ						
LÖnh bµi N÷ KiÕm kh¸ch	2	0	572	1	0	99														MËt lÖnh dïng ®Ó chØ huy N÷ KiÕm Kh¸ch.		ThÇn bİ						
Nh¸nh th«ng gi¸o héi	2	0	573	1	0	1												\image\item\shengdan\Ê¥µ®Ê÷Ö¦a1.spr	\image\item\shengdan\Ê¥µ®Ê÷Ö¦a0.spr	C©y Gi¸ng Sinh cña Gi¸o sÜ, mçi ngµy cã thÓ dùng thö 1 c©y gi¸ng sinh.		NhiÖm vô	\script\online\xmas_07_viet\xmas_seed.lua		0	0		
Nh¸nh th«ng mü lÖ	2	0	574	1	0	1												\image\item\shengdan\Ê¥µ®Ê÷Ö¦a1.spr	\image\item\shengdan\Ê¥µ®Ê÷Ö¦a0.spr	Cµnh c©y Gi¸ng sinh, mçi ngµy cã thÓ dùng thö 1 c©y gi¸ng sinh.		NhiÖm vô	\script\online\xmas_07_viet\xmas_seed.lua		0	0		
Nh¸nh th«ng ®Ñp	2	0	575	1	0	1												\image\item\shengdan\Ê¥µ®Ê÷Ö¦a1.spr	\image\item\shengdan\Ê¥µ®Ê÷Ö¦a0.spr	Cµnh c©y Gi¸ng sinh, mçi ngµy cã thÓ dùng thö 1 c©y gi¸ng sinh.		NhiÖm vô	\script\online\zgc_goods_use.lua		0	0		
Nh¸nh th«ng BH	2	0	576	1	0	1												\image\item\shengdan\Ê¥µ®Ê÷Ö¦a1.spr	\image\item\shengdan\Ê¥µ®Ê÷Ö¦a0.spr	Bang chñ míi cã gièng c©y nµy, mçi ngµy cã thÓ dùng thö 1 c©y Gi¸ng sinh bang héi. NhÊn chuét ph¶i ®Ó sö dông.		NhiÖm vô	\script\online\zgc_goods_use.lua		0	0		
VËt tr.trİ th«ng GH	2	0	577	1	0	1												\image\item\shengdan\Ê¥µ®Àñ°üa1.spr	\image\item\shengdan\Ê¥µ®Àñ°üa0.spr	Trang søc trang trİ c©y Gi¸ng Sinh do Gi¸o sÜ ph¸t, cã thÓ treo trªn c©y Gi¸ng sinh cña gi¸o héi.		NhiÖm vô			0	0		
VËt trang trİ 1	2	0	578	1	0	1												\image\item\shengdan\Ê¥µ®Àñ°üa1.spr	\image\item\shengdan\Ê¥µ®Àñ°üa0.spr	VËt trang trİ trªn c©y Gi¸ng Sinh.		NhiÖm vô			0	0		
VËt trang trİ 2	2	0	579	1	0	1												\image\item\shengdan\Ê¥µ®Àñ°üa1.spr	\image\item\shengdan\Ê¥µ®Àñ°üa0.spr	VËt trang trİ trªn c©y Gi¸ng Sinh.		NhiÖm vô			0	0		
VËt trang trİ 3	2	0	580	1	0	1												\image\item\shengdan\Ê¥µ®Àñ°üa1.spr	\image\item\shengdan\Ê¥µ®Àñ°üa0.spr	VËt trang trİ trªn c©y Gi¸ng Sinh.		NhiÖm vô			0	0		
VËt trang trİ 4	2	0	581	1	0	1												\image\item\shengdan\Ê¥µ®Àñ°üa1.spr	\image\item\shengdan\Ê¥µ®Àñ°üa0.spr	VËt trang trİ trªn c©y Gi¸ng Sinh.		NhiÖm vô			0	0		
VËt tr.trİ th«ng BH 1	2	0	582	1	0	5												\image\item\shengdan\Ê¥µ®Àñ°üa1.spr	\image\item\shengdan\Ê¥µ®Àñ°üa0.spr	VËt phÈm trang trİ trªn c©y Gi¸ng Sinh bang héi		NhiÖm vô			0	0		
VËt tr.trİ th«ng BH 2	2	0	583	1	0	5												\image\item\shengdan\Ê¥µ®Àñ°üa1.spr	\image\item\shengdan\Ê¥µ®Àñ°üa0.spr	VËt phÈm trang trİ trªn c©y Gi¸ng Sinh bang héi		NhiÖm vô			0	0		
VËt tr.trİ th«ng BH 3	2	0	584	1	0	5												\image\item\shengdan\Ê¥µ®Àñ°üa1.spr	\image\item\shengdan\Ê¥µ®Àñ°üa0.spr	VËt phÈm trang trİ trªn c©y Gi¸ng Sinh bang héi		NhiÖm vô			0	0		
Trøng	2	0	585	1	0	5												\image\item\other\ĞÇĞÇÀñ»¨a1.spr	\image\item\other\ĞÇĞÇÀñ»¨a0.spr	Ch­a biÕt ®Ó lµm g×. NhÊn chuét ph¶i ®Ó sö dông		NhiÖm vô	\script\online\zgc_goods_use.lua		0	0		
Hép quµ Nguyªn §¸n	2	0	586	1	0	5												\image\item\shengdan\Ê¥µ®Àñ°üa1.spr	\image\item\shengdan\Ê¥µ®Àñ°üa0.spr	ChiÕc hép nhá, kh«ng biÕt bªn trong chøa vËt g×.		NhiÖm vô	\script\online\zgc_goods_use.lua		0	0		
ChØ nam ho¹t ®éng lÔ Gi¸ng Sinh	2	0	587	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a2.spr	QuyÓn sæ nhá ghi l¹i c©u chuyÖn lÔ Gi¸ng Sinh.		NhiÖm vô	\script\online\zgc_goods_use.lua		0	0		
L­¬ng th¶o-s¬ cÊp	2	0	588	1	0	30												\image\item\usable\medi_003a1.spr	\image\item\usable\medi_003a0.spr	L­¬ng th¶o th­êng		§· khãa			2	1		
L­¬ng th¶o-trung cÊp	2	0	589	1	0	30												\image\item\usable\edib_006a1.spr	\image\item\usable\edib_006a0.spr	L­¬ng th¶o		§· khãa			2	1		
L­¬ng th¶o-cao cÊp	2	0	590	1	0	30												\image\item\usable\edib_005a1.spr	\image\item\usable\edib_005a0.spr	L­¬ng th¶o th­îng h¹ng		§· khãa			2	1		
Cuèc l­¬ng th¶o	2	0	591	1	0	1												\image\item\tools\tool_006a1.spr	\image\item\tools\tool_006a0.spr	Khi b¹n x¸c ®Şnh ®­îc n¬i cã l­¬ng th¶o, nhËn chuét ph¶i ®Ó sö dông vµ thu thËp. Cã thÓ bá vµo thanh phİm t¾t ®Ó sö dông nhanh chãng		§· khãa	\script\newbattles\resourcebattle\hoe_item.lua		2	1		
S¬n tÆc-chiÕn cæ	2	0	592	1	0	99												\image\item\other\É½ÔôÕ½¹Äa1.spr	\image\item\other\É½ÔôÕ½¹Äa0.spr	Sö dông S¬n tÆc chiÕn cæ cã thÓ lµm ®èi ph­¬ng bŞ cho¸ng (Gi·n c¸ch xuÊt chiªu 5 gi©y).		§· khãa	\script\newbattles\resourcebattle\drum_item.lua		2	1		
S¬n tÆc-binh kú	2	0	593	1	0	99												\image\item\ring\½«¾üÁîÆì2a1.spr	\image\item\ring\½«¾üÁîÆì2a0.spr	Sö dông vËt phÈm cã thÓ gäi 1 tªn S¬n tÆc xuÊt hiÖn ®Ó c­íp l­¬ng th¶o cña ®èi ph­¬ng, gi¶m ®iÓm tİch lòy cña ®èi ph­¬ng vµ chuyÓn ®iÓm tİch lòy cña ®èi ph­¬ng vÒ phİa m×nh..		§· khãa	\script\newbattles\resourcebattle\flag_item.lua		2	1		
HuyÒn thiÕt kho¸ng th¹ch	2	0	594	1	0	99												\image\item\other\ormeta_007a1.spr	\image\item\other\ormeta_007a0.spr	Kho¸ng th¹ch tuyÖt phÈm, lµ nguyªn liÖu ®Ó ®óc luyÖn binh khİ, nghe nãi Mé l­¬ng quan cña 2 n­íc Tèng Liªu vµ S¬n tÆc ®Çu môc ®ang thu thËp vËt phÈm nµy.		§· khãa			2	1		
H­íng dÉn chiÕn tr­êng	2	0	595	1	0	1												\image\item\other\coll_024a1.spr	\image\item\other\coll_024a0.spr	Trî thñ gióp b¹n tung hoµnh trªn sa tr­êng.		§· khãa	\script\newbattles\battle_book_item.lua		2	1		
Tr­êng Kh«ng Bao	2	0	596	1	0	1												\image\item\other\³¤¿Õ°ü(x).spr	\image\item\other\³¤¿Õ°ü(d).spr	<enter><color=Gold>Chøa Tr­êng Kh«ng Ngo¹i Trang cña bÊt kú m«n ph¸i		ThÇn bİ	\script\item\changkong.lua		0	1		
Sinh ®å chøng th­	2	0	597	1	0	999												\image\item\other\ÉúÔ±Ö¤Êéa1.spr	\image\item\other\ÉúÔ±Ö¤Êéa0.spr	Chøng th­ do Thè TiÓu Nha ph¸t, phİa trªn cã viÕt 2 ch÷ Sinh viªn		ThÇn bİ	\script\online\abluemoon\item\exam_certificate.lua		0	1		
Tó tµi chøng th­	2	0	598	1	0	999												\image\item\other\Ğã²ÅÖ¤Êéa1.spr	\image\item\other\Ğã²ÅÖ¤Êéa0.spr	Chøng th­ do Thè TiÓu Nha ph¸t, phİa trªn cã viÕt 2 ch÷ Tó tµi		ThÇn bİ	\script\online\abluemoon\item\exam_certificate.lua		0	1		
Cö nh©n chøng th­	2	0	599	1	0	999												\image\item\other\¾ÙÈËÖ¤Êéa1.spr	\image\item\other\¾ÙÈËÖ¤Êéa0.spr	Chøng th­ do Thè TiÓu Nha ph¸t, phİa trªn cã viÕt 2 ch÷ Cö nh©n		ThÇn bİ	\script\online\abluemoon\item\exam_certificate.lua		0	1		
Cèng sÜ chøng th­	2	0	600	1	0	999												\image\item\other\¹±Ê¿Ö¤Êéa1.spr	\image\item\other\¹±Ê¿Ö¤Êéa0.spr	Chøng th­ do Thè TiÓu Nha ph¸t, phİa trªn cã viÕt 2 ch÷ Cèng sÜ		ThÇn bİ	\script\online\abluemoon\item\exam_certificate.lua		0	1		
TiÕn sÜ chøng th­	2	0	601	1	0	999												\image\item\other\½øÊ¿Ö¤Êéa1.spr	\image\item\other\½øÊ¿Ö¤Êéa0.spr	Chøng th­ do Thè TiÓu Nha ph¸t, phİa trªn cã viÕt 2 ch÷ TiÕn sÜ		ThÇn bİ	\script\online\abluemoon\item\exam_certificate.lua		0	1		
Häc sÜ chøng th­	2	0	602	1	0	999												\image\item\other\Ñ§Ê¿Ö¤Êéa1.spr	\image\item\other\Ñ§Ê¿Ö¤Êéa0.spr	Quan khoa kh¶o Thè TiÓu Nha kı ph¸t, trªn ®ã viÕt 2 ch÷ 'Häc sÜ', nh×n kü d­êng nh­ kh«ng cã huyÒn c¬.		ThÇn bİ	\script\online\abluemoon\item\exam_certificate.lua		0	1		
V¨n th­ c¸c häc sÜ chøng th­	2	0	603	1	0	999												\image\item\other\ÎÄÊé¸óÑ§Ê¿Ö¤Êéa1.spr	\image\item\other\ÎÄÊé¸óÑ§Ê¿Ö¤Êéa0.spr	Quan khoa kh¶o Thè TiÓu Nha kı ph¸t, trªn ®ã viÕt 'V¨n Th­ C¸c Häc SÜ', nh×n kü d­êng nh­ kh«ng cã huyÒn c¬.		ThÇn bİ	\script\online\abluemoon\item\exam_certificate.lua		0	1		
Hµn l©m viÖn ®¹i häc sÜ chøng th­	2	0	604	1	0	999												\image\item\other\º²ÁÖÔº´óÑ§Ê¿Ö¤Êéa1.spr	\image\item\other\º²ÁÖÔº´óÑ§Ê¿Ö¤Êéa0.spr	Quan khoa kh¶o Thè TiÓu Nha kı ph¸t, trªn viÕt '§¹i Häc SÜ ViÖn Hµn L©m', nh×n kü d­êng nh­ kh«ng cã huyÒn c¬.		ThÇn bİ	\script\online\abluemoon\item\exam_certificate.lua		0	1		
V¨n Khóc Tinh Chøng Th­	2	0	605	1	0	999												\image\item\other\ÎÄÇúĞÇÖ¤Êéa1.spr	\image\item\other\ÎÄÇúĞÇÖ¤Êéa0.spr	Quan khoa kh¶o Thè TiÓu Nha kı ph¸t, trªn ®ã viÕt 'V¨n Khóc Tinh', nh×n kü d­êng nh­ kh«ng cã huyÒn c¬.		ThÇn bİ	\script\online\abluemoon\item\exam_certificate.lua		0	1		
R­¬ng s¾t NguyÖt Thè	2	0	606	1	0	1												\image\item\other\ÔÂÁÁÍÃÌú±¦Ïäa1.spr	\image\item\other\ÔÂÁÁÍÃÌú±¦Ïäa0.spr	Trong chøa nh÷ng b¶o bèi thÕ gian hiÕm thÊy		ThÇn bİ	\script\online\abluemoon\item\moon_rabbit_box.lua		0	1		
Tói bİ kiÕp ThiÕu L©m	2	0	607	1	0	1												\image\item\other\secr_027a1.spr	\image\item\other\secr_027a0.spr	B¶o vËt ThiÕu L©m nh©n sÜ tranh ®o¹t, cã thÓ nhËn ®­îc ngÉu nhiªn 5 bİ kİp trong vâ häc ThiÕu L©m ph¸i.		ThÇn bİ	\script\item\moon_rabbit_task_jue.lua		0	1		
Tói bİ kiÕp §­êng M«n	2	0	608	1	0	1												\image\item\other\secr_027a1.spr	\image\item\other\secr_027a0.spr	B¶o vËt §­êng M«n nh©n sÜ tranh ®o¹t, cã thÓ nhËn ®­îc ngÉu nhiªn 5 bİ kİp trong vâ häc ph¸i §­êng M«n.		ThÇn bİ	\script\item\moon_rabbit_task_jue.lua		0	1		
Tói bİ kiÕp Nga My	2	0	609	1	0	1												\image\item\other\secr_027a1.spr	\image\item\other\secr_027a0.spr	B¶o vËt Nga My nh©n sÜ tranh ®o¹t, cã thÓ nhËn ®­îc ngÉu nhiªn 5 bİ kİp trong vâ häc ph¸i Nga My.		ThÇn bİ	\script\item\moon_rabbit_task_jue.lua		0	1		
Tói bİ kiÕp C¸i Bang	2	0	610	1	0	1												\image\item\other\secr_027a1.spr	\image\item\other\secr_027a0.spr	B¶o vËt C¸i Bang nh©n sÜ tranh ®o¹t, cã thÓ nhËn ®­îc ngÉu nhiªn 5 bİ kİp trong vâ häc ph¸i C¸i Bang.		ThÇn bİ	\script\item\moon_rabbit_task_jue.lua		0	1		
Tói bİ kiÕp Vâ §ang	2	0	611	1	0	1												\image\item\other\secr_027a1.spr	\image\item\other\secr_027a0.spr	B¶o vËt Vâ §ang nh©n sÜ tranh ®o¹t, cã thÓ nhËn ®­îc ngÉu nhiªn 5 bİ kİp trong vâ häc ph¸i Vâ §ang.		ThÇn bİ	\script\item\moon_rabbit_task_jue.lua		0	1		
Tói bİ kiÕp D­¬ng M«n	2	0	612	1	0	1												\image\item\other\secr_027a1.spr	\image\item\other\secr_027a0.spr	B¶o vËt D­¬ng M«n nh©n sÜ tranh ®o¹t, cã thÓ nhËn ®­îc ngÉu nhiªn 5 bİ kİp trong vâ häc ph¸i D­¬ng M«n.		ThÇn bİ	\script\item\moon_rabbit_task_jue.lua		0	1		
Tói bİ kiÕp Ngò §éc	2	0	613	1	0	1												\image\item\other\secr_027a1.spr	\image\item\other\secr_027a0.spr	B¶o vËt Ngò §éc nh©n sÜ tranh ®o¹t, cã thÓ nhËn ®­îc ngÉu nhiªn 5 bİ kİp trong vâ häc ph¸i Ngò §éc.		ThÇn bİ	\script\item\moon_rabbit_task_jue.lua		0	1		
ChØ nam ho¹t ®éng ngµy xu©n	2	0	614	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Ghi l¹i c©u chuyÖn liªn quan ho¹t ®éng ngµy xu©n.		NhiÖm vô	\script\online\´º½Ú»î¶¯\spring_2007_book.lua		0	0		
Tr­ B¶o B¶o_B¶o §iÓn	2	0	615	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Ghi l¹i c©u chuyÖn cña Tr­ B¶o B¶o.		NhiÖm vô	\script\online\´º½Ú»î¶¯\spring2007\feed_pig\feed_pig.lua		0	0		
Tr­ B¶o B¶o	2	0	616	1	0	1												\image\item\other\Ğ¡°×Öía1.spr	\image\item\other\Ğ¡°×Öía0.spr	N¨m Hîi ®· ®Õn, Tr­ B¶o B¶o ®Õn ban phóc lµnh cho b¹n! NhÊn chuét ph¶i cã thÓ gäi 1 con Tr­ B¶o B¶o theo sau 5 ngµy.<enter><color=Gold>(Mµu s¾c vµ giíi tİnh ngÉu nhiªn)		NhiÖm vô	\script\online\´º½Ú»î¶¯\spring2007\feed_pig\feed_pig.lua		0	1		
Kh«ng	2	0	617	1	0	1												\image\item\other\Ğ¡°×Öía1.spr	\image\item\other\Ğ¡°×Öía0.spr	N¨m Hîi ®· ®Õn, Tr­ B¶o B¶o ®Õn ban phóc lµnh cho b¹n! NhÊn chuét ph¶i cã thÓ gäi Tr­ B¶o B¶o xuÊt hiÖn.		NhiÖm vô	\script\online\´º½Ú»î¶¯\spring2007\feed_pig\feed_pig.lua		0	1		
Tr­ B¶o B¶o TiÓu H¾c	2	0	618	1	0	1												\image\item\other\Ğ¡ºÚÖía1.spr	\image\item\other\Ğ¡ºÚÖía0.spr	N¨m Hîi ®· ®Õn, Tr­ B¶o B¶o ®Õn ban phóc lµnh cho b¹n! NhÊn chuét ph¶i cã thÓ gäi 1 Tr­ B¶o B¶o TiÓu H¾c theo sau 5 ngµy.<enter><color=Gold>(Tr­ B¶o B¶o mµu ®en, giíi tİnh ngÉu nhiªn)		NhiÖm vô	\script\online\´º½Ú»î¶¯\spring2007\feed_pig\feed_pig.lua		0	1		
TiÓu H¾c Tr­ Phï	2	0	619	1	0	1												\image\item\other\Ğ¡ºÚÖía1.spr	\image\item\other\Ğ¡ºÚÖía0.spr	TriÖu gäi TiÓu H¾c Tr­.		NhiÖm vô	\script\online\qixi07\item\xiaoheizhufu.lua		1	1		
Tr­ B¶o B¶o TiÓu B¹ch	2	0	620	1	0	1												\image\item\other\Ğ¡°×Öía1.spr	\image\item\other\Ğ¡°×Öía0.spr	N¨m Hîi ®· ®Õn, Tr­ B¶o B¶o ®Õn ban phóc lµnh cho b¹n! NhÊn chuét ph¶i cã thÓ gäi 1 Tr­ B¶o B¶o TiÓu B¹ch theo sau 5 ngµy.<enter><color=Gold>(Tr­ B¶o B¶o mµu tr¾ng, giíi tİnh ngÉu nhiªn)		NhiÖm vô	\script\online\´º½Ú»î¶¯\spring2007\feed_pig\feed_pig.lua		0	1		
TiÓu B¹ch Tr­ Phï	2	0	621	1	0	1												\image\item\other\Ğ¡°×Öía1.spr	\image\item\other\Ğ¡°×Öía0.spr	TriÖu gäi TiÓu B¹ch Tr­.		NhiÖm vô	\script\online\qixi07\item\xiaobaizhufu.lua		1	1		
Tr­ B¶o B¶o Nh­ ı	2	0	622	1	0	1												\image\item\other\Ğ¡°×Öía1.spr	\image\item\other\Ğ¡°×Öía0.spr	N¨m Hîi ®· ®Õn, Tr­ B¶o B¶o ®Õn ban phóc lµnh cho b¹n! NhÊn chuét ph¶i cã thÓ gäi 1 con Tr­ B¶o B¶o Nh­ ı theo sau 5 ngµy.<enter><color=Gold>(Cã thÓ chØ ®Şnh mµu s¾c vµ giíi tİnh cña Tr­ B¶o B¶o)		NhiÖm vô	\script\online\´º½Ú»î¶¯\spring2007\feed_pig\feed_pig.lua		0	1		
Kh«ng	2	0	623	1	0	1												\image\item\other\Ğ¡ºÚÖía1.spr	\image\item\other\Ğ¡ºÚÖía0.spr	N¨m Hîi ®· ®Õn, Tr­ B¶o B¶o ®Õn ban phóc lµnh cho b¹n! NhÊn chuét ph¶i cã thÓ gäi H¾c Ca Ca TiÓu H¾c		NhiÖm vô	\script\online\´º½Ú»î¶¯\spring2007\feed_pig\feed_pig.lua		0	1		
KimTr­ B¶o B¶o	2	0	624	1	0	1												\image\item\other\Ğ¡½ğÖía1.spr	\image\item\other\Ğ¡½ğÖía0.spr	N¨m Hîi ®· ®Õn, Tr­ B¶o B¶o ®Õn ban phóc lµnh cho b¹n! NhÊn chuét ph¶i cã thÓ gäi 1 Kim Tr­ B¶o B¶o theo sau 5 ngµy.<enter><color=Gold>(Tr­ B¶o B¶o mµu vµng giíi tİnh ngÉu nhiªn )		NhiÖm vô	\script\online\´º½Ú»î¶¯\spring2007\feed_pig\feed_pig.lua		0	1		
TiÓu Kim Tr­ Phï	2	0	625	1	0	1												\image\item\other\Ğ¡½ğÖía1.spr	\image\item\other\Ğ¡½ğÖía0.spr	TriÖu gäi TiÓu Kim Tr­.		NhiÖm vô	\script\online\qixi07\item\xiaojinzhufu.lua		1	1		
